ref_no,placename
1776,Chooreechillum
4746,BUMMEL
11854,Soopun
12264,MOUNT BURRUMBUSH
13429,TINDAPPAH
15848,WURRKA
21091,EEGARBU
21741,Ma-Ma-Lon-Bi
24633,Dthoorakool
25586,GOOLBODDI ISLAND
29635,WOAKOH
31636,CALLOONGPAH
36162,WYER ISLAND
2564,GOOMOOLAHRA FALLS
4095,BUDG-JOO ISLAND
8426,NIAMBOYOO
9402,MOUNT GOPPA GOPPA
9827,Manjal Jimalji
10864,Coonanglebah
11236,MOOGERAH
24666,KO-NO-MIE
26252,MALLICAMAS
32077,NOOGOON
35428,YOWGURRABAH
37574,MOUNT IMBI IMBI
42747,TCHABOOGENIN
47533,Gari
48358,FRONJUM POINT
50415,Nanyeta Creek
1335,Fargie
2543,Tooliewah
4567,Culgarool
8522,TE-RI-MUL
9417,WOGGUNBA
14713,WOP-PA
17068,Tumbowah Creek
22375,COOYINNIRRA
24415,POINT BURGAMUNDA
27614,ARANGARANDIN CREEK
29150,TANGOONDA MOUNTAIN
32703,MOUNT NUMBARGULME
37174,MATU
48275,BARGUGGAN
1585,Boodthean
6087,Dadali
11070,Mount Toolara
19777,WALANGOORA
31628,KULBAI KULBAI
34007,MOUNT MANDURANA
36162,WAIER ISLAND
43258,NGURTAI
44187,Oooroong-Ooran
6147,Yoolooburabee
10241,BURUDA
11095,OONDA OONDA CREEK
14713,Woppa
14740,MILWARPA
21012,MARKAILAG
21966,BA-LA-BA
21989,Callah
22810,Quandamook
27515,MURALUG ISLAND
27640,Mumkwarran
32484,YUMBABULLO
34297,PITTEROO WATERHOLE
39750,Ngarrabullgan
42710,PURTABOI ISLAND
47541,Tukkee
47550,Walangoora
50379,test
1670,PARAU ISLAND
1684,TUIN
2184,WOOROONOORAN RANGE
2405,BURRAR ISLET
11151,Garoogubbee
12160,Carbooroo
12563,GOONG-GAN-JEE ISLAND
13191,PUNCHAGIN
13286,GERBAR ISLAND
15850,CAPARRA ISLAND
