ref_no,hist_ref_no
209,14818
5947,49477
9690,49960
16422,48388
22031,49400
23006,49920
25773,50188
31696,31695
37458,51545
37782,48419
37791,49887
39205,49888
39643,24885
40394,40326
40557,8075
40760,19065
40973,2109
41036,22984
41426,50665
41530,39125
41680,15399
41696,28286
41721,8783
42069,41213
42169,50693
42199,50732
42475,42335
43013,42441
43190,42424
43203,38962
43217,38984
43320,43131
43331,43142
43361,43172
43437,42797
43475,38257
43521,43509
43561,23149
43569,24729
43651,43650
43729,43708
43742,25882
43803,40832
43933,50902
43999,36550
44042,50903
44056,44055
44109,39542
44109,42151
44136,14567
44199,43610
44218,29453
44237,23580
44288,26190
44333,30694
44577,43540
44590,43547
44592,43548
44718,40006
44850,39217
45000,37958
45120,41712
45286,43811
45365,40907
45403,40912
45412,40960
45417,33600
45473,35820
45499,44489
45717,41105
45772,41120
45827,41355
45866,41338
46015,42508
46079,43341
46256,40241
46377,42051
46466,40685
46565,44412
46673,40519
46733,39900
46768,45020
46817,24259
46825,26771
46953,40463
47012,40216
47148,45017
47250,39952
47253,44470
47258,44473
47300,46175
47455,44845
47661,1278
47719,40181
47749,40186
47786,47201
47803,41055
47974,42716
48009,40357
48023,40173
48111,46099
48116,47190
48128,47868
48308,44141
48312,47771
48333,47178
48549,46426
48563,45803
48574,47177
48593,45868
48622,45809
48635,45582
48649,45812
48846,46501
49257,48064
49295,25488
49443,47598
49535,49158
50073,24234
50319,48345
50400,50278
50442,50461
50579,44944
50616,39499
50636,39584
50649,42135
50818,50817
50852,50851
50886,50885
50938,50937
51068,992
51319,23050
51497,51496
52091,47387
52093,42488
52222,49221
5786,49479
5996,49957
7937,30859
9464,43050
11236,50536
23178,49936
31521,49774
39925,24583
39996,50169
40307,5209
40310,5704
40681,33308
40723,22998
40766,40765
40774,40773
40783,23118
40817,52161
40822,31101
40928,36491
41544,41543
41682,23061
41757,33619
41820,26554
42078,39153
42080,40175
42212,50761
42482,42364
42565,34631
42844,49979
42990,42393
43068,15866
43089,926
43095,2328
43102,5205
43126,16111
43154,43178
43199,38958
43460,42809
43702,40934
43709,26289
43785,43260
43903,50838
44052,42201
44086,44085
44294,1856
44297,2212
44489,38016
44524,42269
44563,43196
44599,43553
44626,43573
44698,43659
44709,10343
44727,40060
44790,42620
44819,42626
44866,40565
44932,44289
44936,37791
44998,41310
45146,41728
45279,43329
45307,43801
45351,41035
45430,40967
45562,43009
45566,42986
45853,39318
45947,43420
45964,43433
45974,43438
46011,43441
46014,46013
46219,40233
46351,42039
46423,41266
46507,41251
46638,40496
46729,40111
46734,39905
46747,39913
46836,40866
46922,41548
47132,44714
47163,44298
47256,45520
47303,46178
47317,44477
47320,34684
47587,47044
47669,41965
47683,41317
47856,47174
47997,43773
48008,42721
48047,27962
48050,43757
48062,40086
48102,42723
48317,45074
48350,47769
48578,47180
48660,45586
48720,46468
48743,47794
48750,47326
48777,45605
48809,47233
48901,45857
49095,30878
49204,45936
49232,48812
49275,47718
49321,43721
49369,48021
49514,46388
49517,48529
49688,49514
49698,46766
49780,49782
49788,48870
49799,48796
50205,45977
50249,44970
50345,50730
50360,43873
50374,39416
50633,50632
50796,43834
50840,43923
50945,50944
50975,50974
51013,51012
51035,51034
51047,51046
51137,44036
51217,14245
51328,23131
51444,51443
51511,39452
52148,48790
3303,48160
13923,15676
14238,48388
16692,49929
19013,49898
25627,49905
37958,49943
39636,42154
40281,40280
40293,40292
40297,4383
40368,40367
40539,10443
40680,39696
40702,17734
40730,38934
40883,40882
40917,40916
41461,50673
41635,34289
41763,39856
41874,45239
42013,40144
42067,41141
42186,40612
42248,40027
42387,31228
